entity,thing,type1
Lester B. Pearson Biography," Newtonbrook, Toronto, Ontario",Born in
Lester B. Pearson Biography, 14th Prime Minister of Canada,Famous as
Lester B. Pearson Biography, Maryon Pearson,Spouse/Ex-
Lester B. Pearson Biography, Edwin Arthur Pearson,father
Lester B. Pearson Biography, Annie Sarah,mother
Lester B. Pearson Biography," Marmaduke Pearson, Vaughan Whitier Pearson",siblings
Lester B. Pearson Biography, Geoffrey Pearson,children
Lester B. Pearson Biography, Methodist,religion
Lester B. Pearson Biography," December 27, 1972",Died on
Lester B. Pearson Biography," Ottawa, Ontario",place of death
Lester B. Pearson Biography, Victoria University,Notable Alumni
Lester B. Pearson Biography," University of Toronto, St John's College, Oxford, University of Oxford, Victoria University in the University of Toronto, McGill University, Harvard University, Columbia University, Princeton University",education
Lester B. Pearson Biography, 1957 - Nobel Peace Prize,awards
Chief Seattle Biography, 1780,Born
Zhao Ziyang Biography," October 17, 1919",Birthday
Zhao Ziyang Biography, Chinese,Nationality
Chief Seattle Biography, American,Nationality
Chief Seattle Biography," 
Quotes By Chief Seattle 

Native Americans 
",Famous
Chief Seattle Biography, 86,Died At Age
Chief Seattle Biography, Blake Island,Born in
Chief Seattle Biography," La-Dalia, Olahl",Spouse/Ex-
Chief Seattle Biography, Shweabe,father
Chief Seattle Biography, Sholeetsa,mother
Chief Seattle Biography, Kikisoblu or Princess Angeline,children
Chief Seattle Biography, Roman Catholic,religion
Chief Seattle Biography," June 7, 1866",Died on
Chief Seattle Biography, Port Madison,place of death
Zhao Ziyang Biography," 
Prime Ministers 

Political Leaders 
",Famous
Zhao Ziyang Biography, Libra,Sun Sign
Zhao Ziyang Biography, 85,Died At Age
Zhao Ziyang Biography," Zhao Zi Yang, Zhaoziyang",Also Known As
Zhao Ziyang Biography," Hua County, Anyang, China",Born in
Zhao Ziyang Biography, Former Prime Minister of China,Famous as
Zhao Ziyang Biography, Liang Boqi,Spouse/Ex-
Zhao Ziyang Biography," Zhao Daijun, Zhao Erjun, Zhao Liang, Zhao Sanjun, Zhao Sijun, Zhao Wujun",children
Zhao Ziyang Biography, Atheism,religion
Zhao Ziyang Biography," January 17, 2005",Died on
Zhao Ziyang Biography, Beijing,place of death
Barbara Jordan Biography," February 21, 1936",Birthday
Barbara Jordan Biography, American,Nationality
Barbara Jordan Biography," 
Quotes By Barbara Jordan 

African American Men 
",Famous
Barbara Jordan Biography, Pisces,Sun Sign
Barbara Jordan Biography, 59,Died At Age
Barbara Jordan Biography, Houston,Born in
Barbara Jordan Biography, Lawyer,Famous as
Barbara Jordan Biography, Democratic,political ideology
Barbara Jordan Biography, Ben Jordan,father
Barbara Jordan Biography, Arlyne Jordan,mother
Barbara Jordan Biography, Baptist,religion
Barbara Jordan Biography," January 17, 1996",Died on
Barbara Jordan Biography, Austin,place of death
Barbara Jordan Biography, Democrats,Ideology
Barbara Jordan Biography, Texas,"City, States, Provinces & Districts"
Barbara Jordan Biography," Boston University, Texas Southern University, Wheatley High School",education
Barbara Jordan Biography, 1992 - Spingarn Medal 1993 - Elizabeth Blackwell 1994 - Presidential Medal of Freedom,awards
Eldridge Cleaver Biography," August 31, 1935",Birthday
Eldridge Cleaver Biography, American,Nationality
Eldridge Cleaver Biography," 
Quotes By Eldridge Cleaver 

African American Men 
",Famous
Eldridge Cleaver Biography, Virgo,Sun Sign
Eldridge Cleaver Biography, 62,Died At Age
Eldridge Cleaver Biography," Wabbaseka, Arkansas",Born in
Eldridge Cleaver Biography, Kathleen Cleaver 1967–1987),Spouse/Ex-
Eldridge Cleaver Biography," Ahmad Maceo Eldridge Cleaver, Joju Younghi Cleaver",children
Eldridge Cleaver Biography, Mormon,religion
Eldridge Cleaver Biography," May 1, 1998",Died on
Eldridge Cleaver Biography, Pomona,place of death
Eldridge Cleaver Biography, Arkansas,"City, States, Provinces & Districts"
Eldridge Cleaver Biography, Republicans,Ideology
Eldridge Cleaver Biography, ,awards
Boutros Boutros-Ghali Biography," November 14, 1922",Birthday
Boutros Boutros-Ghali Biography, Egyptian,Nationality
Boutros Boutros-Ghali Biography," 
Diplomats 

Political Leaders 
",Famous
Boutros Boutros-Ghali Biography, Scorpio,Sun Sign
Boutros Boutros-Ghali Biography, 93,Died At Age
Boutros Boutros-Ghali Biography," Cairo, Egypt",Born in
Boutros Boutros-Ghali Biography, Former UN Secretary General,Famous as
Boutros Boutros-Ghali Biography, 1.78 m,Height
Boutros Boutros-Ghali Biography, Leia Maria Boutros-Ghali,Spouse/Ex-
Boutros Boutros-Ghali Biography," Michel Boutros-Ghali, Raouf Boutros-Ghali",siblings
Boutros Boutros-Ghali Biography, Coptic Orthodox Church of Alexandria,religion
Boutros Boutros-Ghali Biography," February 16, 2016",Died on
Boutros Boutros-Ghali Biography," Cairo, Egypt",place of death
Boutros Boutros-Ghali Biography," Cairo University, University of Paris, Sciences Po, Pantheon-Sorbonne University, Sorbonne",education
Paul Keating Biography," January 18, 1944",Birthday
Paul Keating Biography, Australian,Nationality
Paul Keating Biography," 
Prime Ministers 

Political Leaders 
",Famous
Paul Keating Biography, Capricorn,Sun Sign
Paul Keating Biography," 74 Years, 74 Year Old Males",Age
Paul Keating Biography," Paul Keating, Paul John Keating",Also Known As
Paul Keating Biography, Sydney,Born in
Paul Keating Biography, 1.82 m,Height
Paul Keating Biography, Leader of the Labor Party,political ideology
Paul Keating Biography, Annita van Iersel,Spouse/Ex-
Paul Keating Biography, Matthew Keating,father
Nikol Pashinyan Biography," June 1, 1975",Birthday
Paul Keating Biography, Minnie,mother
Paul Keating Biography, Anne Keating,siblings
Paul Keating Biography," Alexandra Keating, Caroline Keating, Katherine Keating, Patrick Keating",children
Paul Keating Biography, Roman Catholic,religion
Paul Keating Biography," Belmore Technical College, LaSalle Catholic College",education
Nikol Pashinyan Biography, Armenian,Nationality
Nikol Pashinyan Biography," 
Journalists 

Prime Ministers 
",Famous
Nikol Pashinyan Biography, Gemini,Sun Sign
Nikol Pashinyan Biography," 43 Years, 43 Year Old Males",Age
Nikol Pashinyan Biography, Nikol Vovayi Pashinyan,Also Known As
Nikol Pashinyan Biography, Ijevan,Born in
Nikol Pashinyan Biography, Prime Minister of Armenia,Famous as
Nikol Pashinyan Biography, 1.78 m,Height
Nikol Pashinyan Biography," Armenian National Congress (2008–2013), Civil Contract (2013–), Impeachment Union (2007)",political ideology
Nikol Pashinyan Biography, Anna Hakobyan,Spouse/Ex-
Mikhail Prokhorov Biography," May 3, 1965",Birthday
Mikhail Prokhorov Biography, Russian,Nationality
Mikhail Prokhorov Biography," 
Billionaires 

Bankers 
",Famous
Mikhail Prokhorov Biography, Taurus,Sun Sign
Mikhail Prokhorov Biography," 53 Years, 53 Year Old Males",Age
Mikhail Prokhorov Biography, Mikhail Dmitrievitch Prokhorov,Also Known As
Mikhail Prokhorov Biography," Moscow, USSR",Born in
Mikhail Prokhorov Biography, Business Tycoon,Famous as
Mikhail Prokhorov Biography, 2.03 m,Height
Mikhail Prokhorov Biography, Dmitri Prokhorov,father
Mikhail Prokhorov Biography, Tamara Prokhorova,mother
Mikhail Prokhorov Biography, Irina Prokhorova,siblings
Mikhail Prokhorov Biography," Onexim Group, Cultural Initiatives Foundation, Civic Platform",Founder/Co-Founder
Mikhail Prokhorov Biography, $8.9 billion,Net worth
Mikhail Prokhorov Biography, Moscow Finance Institute,education
Mikhail Prokhorov Biography, Knight of the Legion of Honour Medal of the Order For Services to the Fatherland Ist degree Order of Friendship,awards
Eugene McCarthy Biography," March 29, 1916",Birthday
Eugene McCarthy Biography, American,Nationality
Eugene McCarthy Biography," 
Political Leaders 

American Men 
",Famous
Eugene McCarthy Biography, Aries,Sun Sign
Eugene McCarthy Biography, 89,Died At Age
Eugene McCarthy Biography, Eugene J McCarthy,Also Known As
Eugene McCarthy Biography, Watkins,Born in
Eugene McCarthy Biography, Politician,Famous as
Eugene McCarthy Biography, Political party - Democratic-Farmer-Labor,political ideology
Eugene McCarthy Biography, Abigail McCarthy,Spouse/Ex-
Eugene McCarthy Biography," Christopher Joseph McCarthy, Eleanor McCarthy Howell, Margaret Alice McCarthy Brown, Mary Abigail McCarthy, Mary Beth McCarthy, Michael Benet McCarthy",children
Eugene McCarthy Biography, Catholicism,religion
Eugene McCarthy Biography," December 10, 2005",Died on
Eugene McCarthy Biography," Washington, D.C.",place of death
Eugene McCarthy Biography, Parkinson's Disease,Diseases & Disabilities
Eugene McCarthy Biography," University of Minnesota, College of Saint Benedict, Saint John's Preparatory School",education
Kurt Waldheim Biography," December 21, 1918",Birthday
Kurt Waldheim Biography, Austrian,Nationality
Kurt Waldheim Biography," 
Diplomats 

Presidents 
",Famous
Kurt Waldheim Biography, Sagittarius,Sun Sign
Kurt Waldheim Biography, 88,Died At Age
Kurt Waldheim Biography," Sankt Andrä-Wördern near Vienna, German Austria",Born in
Kurt Waldheim Biography, Former President of Austria & UN Secretary General,Famous as
Kurt Waldheim Biography, Elisabeth Waldheim,Spouse/Ex-
Kurt Waldheim Biography, Walter Waldheim,father
Kurt Waldheim Biography," Christa, Gerhard, Lieselotte",children
Kurt Waldheim Biography, Catholicism,religion
Kurt Waldheim Biography," June 14, 2007",Died on
Kurt Waldheim Biography, Vienna,place of death
Kurt Waldheim Biography," University of Vienna, Diplomatic Academy of Vienna",education
Syngman Rhee Biography," March 26, 1875",Birthday
Syngman Rhee Biography, South Korean,Nationality
Syngman Rhee Biography," 
Presidents 

Political Leaders 
",Famous
Syngman Rhee Biography, Aries,Sun Sign
Syngman Rhee Biography, 90,Died At Age
Syngman Rhee Biography, Haeju,Born in
Syngman Rhee Biography, Statesman,Famous as
Syngman Rhee Biography, Political party -Liberal,political ideology
Syngman Rhee Biography, Franziska Donner,Spouse/Ex-
Syngman Rhee Biography," Protestantism, Methodism",religion
Syngman Rhee Biography," July 19, 1965",Died on
Syngman Rhee Biography, Honolulu,place of death
Syngman Rhee Biography, Liberal Party,Founder/Co-Founder
Syngman Rhee Biography," Princeton University, George Washington University, Harvard University",education
Jaswant Singh Biography," January 3, 1938",Birthday
Jaswant Singh Biography, Indian,Nationality
Jaswant Singh Biography," 
Political Leaders 

Indian Men 
",Famous
Jaswant Singh Biography, Capricorn,Sun Sign
Jaswant Singh Biography," 81 Years, 81 Year Old Males",Age
Jaswant Singh Biography, Jasol,Born in
Jaswant Singh Biography, Politician,Famous as
Jaswant Singh Biography, 1.85 m,Height
Jaswant Singh Biography, (29 March 2014) - Political party - Bharatiya Janata Party - Independent,political ideology
Jaswant Singh Biography, Sheetal Kanwar,Spouse/Ex-
Jaswant Singh Biography, Thakur Sardara Singh Rathore,father
Jaswant Singh Biography, Kunwar Baisa,mother
Jaswant Singh Biography, Manvendra Singh,children
Jaswant Singh Biography, Hinduism,religion
Jaswant Singh Biography, Mayo College,education
Luigi Di Maio Biography," July 6, 1986",Birthday
Luigi Di Maio Biography, Italian,Nationality
Luigi Di Maio Biography, Marika Cassimatis (Ex),Girlfriend
Luigi Di Maio Biography," 
Political Leaders 

Italian Men 
",Famous
Luigi Di Maio Biography, Cancer,Sun Sign
Luigi Di Maio Biography," 32 Years, 32 Year Old Males",Age
Luigi Di Maio Biography, Avellino,Born in
Luigi Di Maio Biography, Party leader of the Five Star Movement,Famous as
Luigi Di Maio Biography, Antonio Di Maio,father
Luigi Di Maio Biography, Paola Esposito,mother
Luigi Di Maio Biography, Rosalba Di Maio,siblings
Luigi Di Maio Biography, University Of Naples Federico II,Notable Alumni
Luigi Di Maio Biography, University of Naples Federico II,education
John Foster Dulles Biography," February 25, 1888",Birthday
John Foster Dulles Biography, American,Nationality
John Foster Dulles Biography," 
Quotes By John Foster Dulles 

Lawyers 
",Famous
John Foster Dulles Biography, Pisces,Sun Sign
John Foster Dulles Biography, 71,Died At Age
John Foster Dulles Biography," Washington, D.C., U.S.",Born in
John Foster Dulles Biography, Former United States Secretary of State,Famous as
John Foster Dulles Biography, Republican,political ideology
John Foster Dulles Biography, Janet Pomeroy Avery (m. 1912–1959),Spouse/Ex-
John Foster Dulles Biography, Allen Macy Dulles,father
John Foster Dulles Biography, Ecdith,mother
John Foster Dulles Biography," Avery Dulles, John W. F. Dulles, Lillias Dulles Hinshaw",children
John Foster Dulles Biography, Presbyterian,religion
John Foster Dulles Biography," May 24, 1959",Died on
John Foster Dulles Biography," Walter Reed Hospital in Washington, D.C., U.S.",place of death
John Foster Dulles Biography, Republicans,Ideology
Hannibal Hamlin Biography," August 27, 1809",Birthday
Hannibal Hamlin Biography, American,Nationality
Hannibal Hamlin Biography," 
Political Leaders 

American Men 
",Famous
Hannibal Hamlin Biography, Virgo,Sun Sign
Hannibal Hamlin Biography, 81,Died At Age
Hannibal Hamlin Biography, Paris,Born in
Hannibal Hamlin Biography, 15th Vice President of the U.S.A,Famous as
Hannibal Hamlin Biography, Political party - Democratic (until 1856)Republican,political ideology
Hannibal Hamlin Biography," Ellen Hamlin, Sarah Jane Emery",Spouse/Ex-
Hannibal Hamlin Biography, Charles Hamlin,children
Hannibal Hamlin Biography, Unitarianism,religion
Hannibal Hamlin Biography," July 4, 1891",Died on
Hannibal Hamlin Biography, Bangor,place of death
Hannibal Hamlin Biography, Maine,"City, States, Provinces & Districts"
Hannibal Hamlin Biography," Democrats, Republicans",Ideology
Hannibal Hamlin Biography, Hebron Academy,education
"William Pitt, 1st Earl of Chatham Biography"," November 15, 1708",Birthday
"William Pitt, 1st Earl of Chatham Biography", British,Nationality
"William Pitt, 1st Earl of Chatham Biography"," 
Political Leaders 

British Men 
",Famous
John C. Breckinridge Biography," January 16, 1821",Birthday
John C. Breckinridge Biography, American,Nationality
John C. Breckinridge Biography," 
Military Leaders 

Political Leaders 
",Famous
John C. Breckinridge Biography, Capricorn,Sun Sign
John C. Breckinridge Biography, 54,Died At Age
John C. Breckinridge Biography, John Breckinridge,Also Known As
"William Pitt, 1st Earl of Chatham Biography", Scorpio,Sun Sign
"William Pitt, 1st Earl of Chatham Biography", 69,Died At Age
"William Pitt, 1st Earl of Chatham Biography", William Pitt the Elder,Also Known As
"William Pitt, 1st Earl of Chatham Biography", Westminster,Born in
"William Pitt, 1st Earl of Chatham Biography", The Great Commoner,Famous as
"William Pitt, 1st Earl of Chatham Biography"," Countess of Chatham, Hester Pitt",Spouse/Ex-
"William Pitt, 1st Earl of Chatham Biography", William Pitt the Younger,children
"William Pitt, 1st Earl of Chatham Biography"," May 11, 1778",Died on
"William Pitt, 1st Earl of Chatham Biography"," Hayes, Bromley",place of death
"William Pitt, 1st Earl of Chatham Biography"," Trinity College, Oxford, Eton College, University of Oxford, Utrecht University",education
John C. Breckinridge Biography, Lexington,Born in
John C. Breckinridge Biography, Former Vice President of the United States,Famous as
John C. Breckinridge Biography, Democratic,political ideology
John C. Breckinridge Biography, Mary Cyrene Burch Breckinridge,Spouse/Ex-
John C. Breckinridge Biography, Hon. Joseph Cabell Breckinridge,father
John C. Breckinridge Biography, Clifton R. Breckinridge,children
John C. Breckinridge Biography," May 17, 1875",Died on
John C. Breckinridge Biography, Lexington,place of death
John C. Breckinridge Biography, Kentucky,"City, States, Provinces & Districts"
John C. Breckinridge Biography," Princeton University, Transylvania University, Centre College",education
Thaksin Shinawatra Biography," July 26, 1949",Birthday
Thaksin Shinawatra Biography, Thai,Nationality
Thaksin Shinawatra Biography," 
Business People 

Prime Ministers 
",Famous
Thaksin Shinawatra Biography, Leo,Sun Sign
Thaksin Shinawatra Biography," 69 Years, 69 Year Old Males",Age
Thaksin Shinawatra Biography, San Kamphaeng District,Born in
Thaksin Shinawatra Biography, Former Prime Minister of Thailand,Famous as
Thaksin Shinawatra Biography, 1.72 m,Height
Thaksin Shinawatra Biography," (1998–2006)[1] - Political party - Thai Rak Thai Party, (1994–98) - Other political - affiliations - Palang Dharma Party",political ideology
Thaksin Shinawatra Biography, Potjaman Na Pombejra,Spouse/Ex-
Thaksin Shinawatra Biography, Lert Shinawatra,father
Thaksin Shinawatra Biography, Yindee Shinawatra,mother
Thaksin Shinawatra Biography," Yaowapha Wongsawat, Yingluck Shinawatra",siblings
Thaksin Shinawatra Biography," Panthongtae Shinawatra, Peathongtarn Shinawatra, Pintongtha Kunakornwong",children
Thaksin Shinawatra Biography, Buddhism,religion
Thaksin Shinawatra Biography," Pheu Thai Party, Intouch Holdings, Advanced Info Service, Thai Rak Thai Party, Shinawatra University, Thaicom",Founder/Co-Founder
Thaksin Shinawatra Biography," $1.72 billion as of May 30, 2017",Net worth
Thaksin Shinawatra Biography," Eastern Kentucky University, Armed Forces Academies Preparatory School, Sam Houston State University, Royal Police Cadet Academy",education
Ethan Allen Biography," January 21, 1738",Birthday
Ethan Allen Biography, American,Nationality
Ethan Allen Biography," 
Writers 

Philosophers 
",Famous
Ethan Allen Biography, Aquarius,Sun Sign
Ethan Allen Biography, 51,Died At Age
Ethan Allen Biography," Burlington, Vermont, United States",Born in
Ethan Allen Biography, Revolutionary War Hero,Famous as
Ethan Allen Biography," Frances Montresor Brush Buchanan (m. 1784–1789), Mary Brownson (m. 1762–1783)",Spouse/Ex-
Ethan Allen Biography," Heber Allen, Heman Allen, Ira Allen, Levi Allen, Lucy Allen, Lydia Allen, Zimri Allen",siblings
Ethan Allen Biography, Fanny Allen,children
Ethan Allen Biography," February 12, 1789",Died on
Ethan Allen Biography," Vermont, Connecticut","City, States, Provinces & Districts"
Ethan Allen Biography, Yale University,education
Hun Sen Biography," August 5, 1952",Birthday
Hun Sen Biography, Cambodian,Nationality
Hun Sen Biography," 
Prime Ministers 

Political Leaders 
",Famous
Hun Sen Biography, Leo,Sun Sign
Hun Sen Biography," 66 Years, 66 Year Old Males",Age
Hun Sen Biography, Samdech Hun Sen,Also Known As
Hun Sen Biography, Stueng Trang District,Born in
Hun Sen Biography, Prime Minister of Cambodia,Famous as
Hun Sen Biography, 1.8 m,Height
Hun Sen Biography, Political party-Cambodian People's Party,political ideology
Hun Sen Biography, Bun Rany,Spouse/Ex-
Hun Sen Biography, Hun Neang,father
Hun Sen Biography, Dee Yon,mother
Hun Sen Biography," Hun Kamsot, Hun Mali, Hun Malis, Hun Mana, Hun Manet, Hun Mani, Hun Manit",children
Hun Sen Biography, $150 Million as of Jan 2017,Net worth
Hun Sen Biography," Iowa Wesleyan College, California Southern University,National Academy of Public Administration",education
Hun Sen Biography," Golf,Song writing",Hobbies
Tommy Douglas Biography," October 20, 1904",Birthday
Tommy Douglas Biography, Canadian,Nationality
Tommy Douglas Biography," 
Political Leaders 

Canadian Men 
",Famous
Tommy Douglas Biography, Libra,Sun Sign
Tommy Douglas Biography, 81,Died At Age
Tommy Douglas Biography, Thomas Clement Douglas,Also Known As
Tommy Douglas Biography, Falkirk,Born in
Tommy Douglas Biography, Former Canadian Politician & Baptist Minister,Famous as
Tommy Douglas Biography, CCF/NDP,political ideology
Tommy Douglas Biography, Irma Dempsey,Spouse/Ex-
Tommy Douglas Biography, Thomas Douglas,father
Tommy Douglas Biography, Annie,mother
Tommy Douglas Biography, Shirley Douglas,children
Tommy Douglas Biography, Baptist,religion
Tommy Douglas Biography," February 24, 1986",Died on
Tommy Douglas Biography, Ottawa,place of death
Tommy Douglas Biography, Socialists,Ideology
Tommy Douglas Biography," Brandon University, McMaster University, University of Chicago",education
John Bel Edwards Biography," September 16, 1966",Birthday
John Bel Edwards Biography, American,Nationality
John Bel Edwards Biography," 
Lawyers 

Political Leaders 
",Famous
John Bel Edwards Biography, Virgo,Sun Sign
John Bel Edwards Biography," 52 Years, 52 Year Old Males",Age
John Bel Edwards Biography," Amite, Louisiana, U.S.",Born in
John Bel Edwards Biography, 56th Governor of Louisiana,Famous as
John Bel Edwards Biography, Democrat,political ideology
John Bel Edwards Biography, Donna Hutto,Spouse/Ex-
John Bel Edwards Biography, Frank M. Edwards Jr.,father
John Bel Edwards Biography, Dora Jean Miller,mother
John Bel Edwards Biography," Daniel H. Edwards, Frank Millard Edwards",siblings
Charles Sumner Biography," January 6, 1811",Birthday
John Bel Edwards Biography," John Miller Edwards, Samantha Edwards, Sarah Edwards",children
John Bel Edwards Biography, Roman Catholicism,religion
John Bel Edwards Biography, Louisiana,"City, States, Provinces & Districts"
John Bel Edwards Biography," U.S. Military Academy, Louisiana State University, Baton Rouge",education
Charles Sumner Biography, American,Nationality
Charles Sumner Biography," 
Political Leaders 

American Men 
",Famous
Charles Sumner Biography, Capricorn,Sun Sign
Charles Sumner Biography, 63,Died At Age
Charles Sumner Biography, Boston,Born in
Charles Sumner Biography, Politician,Famous as
Charles Sumner Biography," Political party - Republican (earlier Whig, Free Soil, Democrat)",political ideology
Charles Sumner Biography, Alice Mason Hooper,Spouse/Ex-
Charles Sumner Biography," March 11, 1874",Died on
Charles Sumner Biography," Washington, D.C.",place of death
Charles Sumner Biography," Boston, Massachusetts","City, States, Provinces & Districts"
Charles Sumner Biography, Republicans,Ideology
Hamid Karzai Biography," December 24, 1957",Birthday
Hamid Karzai Biography, Afghan,Nationality
Charles Sumner Biography," Harvard University, Harvard Law School, Boston Latin School",education
Hamid Karzai Biography," 
Political Leaders 

Afghan Men 
",Famous
Hamid Karzai Biography, Capricorn,Sun Sign
Hamid Karzai Biography," 61 Years, 61 Year Old Males",Age
Hamid Karzai Biography, Karz,Born in
Hamid Karzai Biography, Former President of Afghanistan,Famous as
Hamid Karzai Biography, Independent,political ideology
Hamid Karzai Biography, Zeenat Karzai,Spouse/Ex-
Hamid Karzai Biography, Abdul Ahad Karzai,father
Hamid Karzai Biography," Ahmed Wali Karzai, Fauzia Karzai, Mahmud Karzai, Quayum Karzai",siblings
Hamid Karzai Biography," Howsi Karzai, Malalai Karzai, Mirwais Karzai",children
Hamid Karzai Biography," Sunni Islam, Islam",religion
Hamid Karzai Biography, Depression,Diseases & Disabilities
Hamid Karzai Biography, $20 Million as of May 2017,Net worth
Hamid Karzai Biography," 1983 - Himachal Pradesh University, 1976 - Habibia High School, Middle East Technical University",education
Hamid Karzai Biography, Indira Gandhi Prize,awards
Ahmad Shah Massoud Biography," September 2, 1953",Birthday
Ramsay MacDonald Biography," October 12, 1866",Birthday
Ahmad Shah Massoud Biography, Afghan,Nationality
Ahmad Shah Massoud Biography," 
Military Leaders 

Political Leaders 
",Famous
Ahmad Shah Massoud Biography, Virgo,Sun Sign
Ahmad Shah Massoud Biography, 48,Died At Age
Ahmad Shah Massoud Biography," Lion of Panjshir, Ahmed Shah",Also Known As
Ahmad Shah Massoud Biography," Bazarak, Panjshir, Afghanistan",Born in
Ahmad Shah Massoud Biography, Former Afghan Military & Political Leader,Famous as
Ahmad Shah Massoud Biography, Sediqa Massoud,Spouse/Ex-
Ahmad Shah Massoud Biography, Dost Mohammad Khan,father
Ahmad Shah Massoud Biography," Ahmad Wali Massoud, Ahmad Zia Massoud",siblings
Ahmad Shah Massoud Biography," Ahmad Massoud, Ayesha Massoud, Fatima Massoud, Mariam Massoud, Nasrine Massoud, Zohra Massoud",children
Ramsay MacDonald Biography, British,Nationality
Ramsay MacDonald Biography," 
Prime Ministers 

Political Leaders 
",Famous
Ramsay MacDonald Biography, Libra,Sun Sign
Ramsay MacDonald Biography, 71,Died At Age
Ramsay MacDonald Biography, Lossiemouth,Born in
Ramsay MacDonald Biography, Prime Minister of the United Kingdom,Famous as
Ramsay MacDonald Biography, Margaret MacDonald,Spouse/Ex-
Ramsay MacDonald Biography, Malcolm MacDonald,children
Ramsay MacDonald Biography, Church of Scotland,religion
Ramsay MacDonald Biography," November 9, 1937",Died on
Ramsay MacDonald Biography, Atlantic Ocean,place of death
Ramsay MacDonald Biography," Birkbeck, University of London, London School of Economics and Political Science",education
Ahmad Shah Massoud Biography, Islam,religion
Ahmad Shah Massoud Biography," September 9, 2001",Died on
Ahmad Shah Massoud Biography, Takhar Province,place of death
Ahmad Shah Massoud Biography, Assassination,Cause of Death
Ahmad Shah Massoud Biography, Kabul University,Notable Alumni
Ahmad Shah Massoud Biography, Northern Alliance,Founder/Co-Founder
Ahmad Shah Massoud Biography," Kabul University, Centre d'Enseignement Français en Afghanistan",education
Sam Brownback Biography," September 11, 1956",Birthday
Sam Brownback Biography, American,Nationality
Sam Brownback Biography," 
Political Leaders 

American Men 
",Famous
Sam Brownback Biography, Virgo,Sun Sign
Sam Brownback Biography," 62 Years, 62 Year Old Males",Age
Sam Brownback Biography, Samuel Dale Brownback,Also Known As
Sam Brownback Biography," Garnett, Kansas, U.S.",Born in
Sam Brownback Biography, 46th Governor of Kansas,Famous as
Sam Brownback Biography, Mary Brownback,Spouse/Ex-
Sam Brownback Biography, Glen Robert Brownback,father
Sam Brownback Biography, Nancy (Cowden),mother
Sam Brownback Biography, Kansas,"City, States, Provinces & Districts"
Sam Brownback Biography, $10 million as of Jan 2017,Net worth
Sam Brownback Biography," Kansas State University (BA), University of Kansas (JD)",education
Alan K. Simpson Biography," September 2, 1931",Birthday
Alan K. Simpson Biography, American,Nationality
Alan K. Simpson Biography," 
Quotes By Alan K. Simpson 

Political Leaders 
",Famous
Alan K. Simpson Biography, Virgo,Sun Sign
Alan K. Simpson Biography," 87 Years, 87 Year Old Males",Age
Alan K. Simpson Biography," Alan Kooi Simpson, Alan Simpson, Sen. Alan Simpson, Senator Alan Simpson",Also Known As
Alan K. Simpson Biography, Denver,Born in
Alan K. Simpson Biography, Former United States Senator,Famous as
Alan K. Simpson Biography, Republican,political ideology
Alan K. Simpson Biography, Ann Schroll,Spouse/Ex-
Alan K. Simpson Biography, Milward L. Simpson,father
Alan K. Simpson Biography, Lorna Kooi,mother
Alan K. Simpson Biography, Peter K. Simpson,siblings
Alan K. Simpson Biography," Colin M. Simpson, Susan Simpson, William Simpson",children
Alan K. Simpson Biography, Episcopal Church,religion
Alan K. Simpson Biography, Colorado,"City, States, Provinces & Districts"
Alan K. Simpson Biography, Republicans,Ideology
Alan K. Simpson Biography," University of Wyoming, Cranbrook Schools, Cody High School",education
Alan K. Simpson Biography, worked with the philanthropic establishment ‘Wings of Hope’., Humanitarian Work
I. K. Gujral Biography," December 4, 1919",Birthday
I. K. Gujral Biography, Indian,Nationality
I. K. Gujral Biography," 
Prime Ministers 

Political Leaders 
",Famous
I. K. Gujral Biography, Sagittarius,Sun Sign
I. K. Gujral Biography, 92,Died At Age
I. K. Gujral Biography, Inder Kumar Gujral,Also Known As
I. K. Gujral Biography," Jhelum, Punjab, British India (now in Punjab, Pakistan)",Born in
I. K. Gujral Biography, Former Prime Minister of India,Famous as
I. K. Gujral Biography, Sheila Gujra,Spouse/Ex-
I. K. Gujral Biography, Avtar Narain,father
I. K. Gujral Biography, Pushpa Gujral,mother
Ashraf Ghani Biography," February 12, 1949",Birthday
I. K. Gujral Biography, Naresh Gujral and Vishal Gujral,children
I. K. Gujral Biography, Hinduism,religion
I. K. Gujral Biography," November 30, 2012",Died on
I. K. Gujral Biography," Gurgaon, Haryana, India",place of death
I. K. Gujral Biography, Gujral Doctrine,Founder/Co-Founder
Ashraf Ghani Biography, Afghan,Nationality
Ashraf Ghani Biography," 
Presidents 

Political Leaders 
",Famous
Ashraf Ghani Biography, Aquarius,Sun Sign
Ashraf Ghani Biography," 69 Years, 69 Year Old Males",Age
Ashraf Ghani Biography, Ashraf Ghani Ahmadzai,Also Known As
Ashraf Ghani Biography," Logar, Afghanistan",Born in
Ashraf Ghani Biography, 13th President of Afghanistan,Famous as
Ashraf Ghani Biography, 1.70 m,Height
Ashraf Ghani Biography, Rula Ghani,Spouse/Ex-
Ashraf Ghani Biography, Shah Pesand,father
Ashraf Ghani Biography, Kawkaba Lodin,mother
Ashraf Ghani Biography, Hashmat Ghani Ahmadzai,siblings
Ashraf Ghani Biography," Mariam Ghani, Tarek Ghani",children
Ashraf Ghani Biography, Islam,religion
Ashraf Ghani Biography, Kabul University,Notable Alumni
