entity,thing,typee
Henry Parkes Biography," Annie T. Parkes, Clarinda Martha Parkes, Clarinda Sarah Parkes, Cobden Parkes, Mary Edith Parkes, Mary Parkes, Milton Parkes, Robert Sydney Parkes, Thomas Campbell Parkes, Varney Parkes",children
James S. Sherman Biography, Carrie Babcock Sherman,Spouse/Ex-
James S. Sherman Biography, Richard U. Sherman,father
Rolandas Paksas Biography, Laima Paksienė,Spouse/Ex-
Rolandas Paksas Biography, Feliksas,father
Rolandas Paksas Biography, Elena,mother
Michel Martelly Biography, Sophia Martelly,Spouse/Ex-
Michel Martelly Biography," Malaika-Michel Martelly, Michel-Alexandre Martelly, Michel-Olivier Martelly, Michel-Yani Martelly",children
Ollanta Humala Biography, Nadine Heredia,Spouse/Ex-
Cheddi Jagan Biography, Janet Jagan,Spouse/Ex-
Ollanta Humala Biography, Isaac Humala,father
Ollanta Humala Biography, Elena Tasso,mother
Ollanta Humala Biography," Antauro Humala, Ulises Humala",siblings
Ollanta Humala Biography," Illariy Humala, Nayra Humala, Samin Humala",children
Cheddi Jagan Biography, Jagan,father
Cheddi Jagan Biography, Bachaoni,mother
Cheddi Jagan Biography, Nadira and Cheddi Jr,children
George M. Dallas Biography, Sophia Dallas,Spouse/Ex-
Kitaw Ejigu Biography, Stella Ejigu,Spouse/Ex-
Kitaw Ejigu Biography," Benyam and Yared, Sarah Abigail",children
Thomas A. Hendricks Biography, Eliza Hendricks,Spouse/Ex-
Jean-Pierre Bemba Biography, Lillian Teixeira,Spouse/Ex-
Jean-Pierre Bemba Biography, Jeannot Bemba Saolona,father
Jean-Pierre Bemba Biography," Catherine Bemba, Jean-Jacques Bemba",siblings
Edward Everett Biography, Charlotte Gray Brooks (m. 1822),Spouse/Ex-
Edward Everett Biography, Rev. Oliver Everett,father
Edward Everett Biography, Lucy Hill Everett,mother
Edward Everett Biography, Alexander Hill Everett,siblings
Edward Everett Biography," Anne Gorham Everett, Charlotte Brooks Everett, Edward Brooks Everett, Grace Webster Everett, Henry Sidney Everett, William Everett",children
Jakaya Kikwete Biography, Salma Kikwete,Spouse/Ex-
Jakaya Kikwete Biography," Ally Kikwete, Khalfan Kikwete, Khalifa Kikwete, Miraj Kikwete, Mohamed Kikwete, MwanaAsha Kikwete, Rashid Kikwete, Ridhiwani Kikwete, Salama Kikwete",children
Violeta Chamorro Biography, Pedro Joaquín Chamorro Alfaro,Spouse/Ex-
Khawaja Nazimuddin Biography, Khwaja Shahabuddin,siblings
Daniel D. Tompkins Biography, Hannah Tompkins,Spouse/Ex-
Daniel D. Tompkins Biography, Caleb Tompkins,siblings
Agostinho Neto Biography, Maria da Silva,Spouse/Ex-
David Trimble Biography," Daphne Elizabeth Trimble, Heather McComb",Spouse/Ex-
David Trimble Biography, William Trimble,father
David Trimble Biography, Ivy Trimble,mother
David Trimble Biography," Nicholas Trimble, Richard Trimble, Sarah Trimble, Victoria Trimble",children
James L. Buckley Biography, Ann Cooley Buckley,Spouse/Ex-
James L. Buckley Biography, William Frank Buckley Sr.,father
James L. Buckley Biography, Aloise Josephine Antonia,mother
James L. Buckley Biography," Patricia Buckley Bozell, William F. Buckley Jr.",siblings
Ahmed Ben Bella Biography, Zohra Sellami,Spouse/Ex-
Ahmed Ben Bella Biography," Mehdia Ben Bella, Noria Ben Bella",children
Mohamed Nasheed Biography, Laila Ali Abdulla,Spouse/Ex-
Mohamed Nasheed Biography," Mira Laila Nasheed, Zaya Laila Nasheed",children
Ralph Bunche Biography, Ruth Ethel Harris,Spouse/Ex-
Ralph Bunche Biography, Fred Bunch,father
Ralph Bunche Biography, Olive Johnson,mother
Ralph Bunche Biography, Grace,siblings
Ralph Bunche Biography," Jane, Joan, Ralph Bunche Jr.",children
Martti Ahtisaari Biography, Eeva Ahtisaari,Spouse/Ex-
Martti Ahtisaari Biography, Oiva Ahtisaari,father
Martti Ahtisaari Biography, Tyyne Ahtisaari,mother
Martti Ahtisaari Biography, Marko Ahtisaari,children
Norman Thomas Biography, Frances Violet Stewart,Spouse/Ex-
Norman Thomas Biography, Welling Evan Thomas,father
Norman Thomas Biography, Emma Mattoon,mother
John Garang Biography, Rebecca Nyandeng De Mabior,Spouse/Ex-
John Garang Biography," Chol Garang, Mabior Garang, Majok Garang",children
George Canning Biography, Joan Scott,Spouse/Ex-
George Canning Biography," George Canning, Sr",father
George Canning Biography, Mary Annie Costello,mother
George Canning Biography," Charles John Canning, Harriet",children
Lord Mountbatten Biography, Edwina Ashley,Spouse/Ex-
Lord Mountbatten Biography, Prince Louis of Battenberg,father
Lord Mountbatten Biography, Princess Victoria of Hesse,mother
Lord Mountbatten Biography," George Mountbatten, Louise Mountbatten, Princess Alice of Battenberg",siblings
Lord Mountbatten Biography," 2nd Countess Mountbatten of Burma, Lady Pamela Hicks, Patricia Knatchbull",children
Govind Ballabh Pant Biography, Manorath Pant,father
Govind Ballabh Pant Biography, Govindi Pant,mother
Govind Ballabh Pant Biography," K. C. Pant, Lakshmi and Pushpa",children
Agnes Macphail Biography, Dougald McPhail,father
Agnes Macphail Biography, Henrietta Campbell,mother
Khan Abdul Ghaffar Khan Biography," Meharqanda Khan, Nambata Khan",Spouse/Ex-
Khan Abdul Ghaffar Khan Biography, Bahram Khan,father
Khan Abdul Ghaffar Khan Biography, Khan Abdul Jabbar Khan,siblings
Khan Abdul Ghaffar Khan Biography," Khan Abdul Ali Khan, Khan Abdul Ghani Khan, Khan Abdul Wali Khan, Mehar Taj Khan, Sardaro Khan",children
Charles G. Dawes Biography, Caro Blymyer Dawes,Spouse/Ex-
Charles G. Dawes Biography, Rufus Dawes,father
Charles G. Dawes Biography, Mary Beman Gates Dawes,mother
Charles G. Dawes Biography," Carolyn Dawes, Dana McCutcheon, Rufus Fearing Dawes, Virginia Dawes",children
John Hume Biography, Patricia Hume,Spouse/Ex-
Richard Mentor Johnson Biography, Julia Chinn,Spouse/Ex-
Richard Mentor Johnson Biography," James Johnson, John Telemachus Johnson",siblings
Penny Wong Biography, Sophie Allouache,Spouse/Ex-
Penny Wong Biography, Alexandra Wong,children
J. B. Kripalani Biography, Sucheta Kripalani,Spouse/Ex-
J. B. Kripalani Biography, Kaka Bhagwandas,father
Akbar Hashemi Rafsanjani Biography, Efat Marashi (m. 1958),Spouse/Ex-
Akbar Hashemi Rafsanjani Biography," Faezeh Hashemi, Fatemeh, Mehdi Hashemi Rafsanjani, Mohsen, Yasser Hashemi Rafsanjani",children
Nouri al-Maliki Biography, Faleeha Khalil,Spouse/Ex-
Nouri al-Maliki Biography, Kamil Mohammed Hasan al-Maliki,father
Nouri al-Maliki Biography, Esraa al-Maliki,children
Walid Jumblatt Biography, Nora Jumblatt,Spouse/Ex-
Walid Jumblatt Biography, Kamal Jumblatt,father
Walid Jumblatt Biography, Taymour (born 1982) Aslan,children
John Wilkes Biography, Mary Meade,Spouse/Ex-
John Wilkes Biography, Israel Wilkes,father
John Wilkes Biography, Sarah (née Heaton),mother
John Wilkes Biography, Charles Wilkes,siblings
John Wilkes Biography, Mary (known as Polly),children
Alf Landon Biography," Margaret Fleming, Theo Cobb",Spouse/Ex-
Alf Landon Biography, John Manuel Landon,father
Alf Landon Biography, Anne Mossman Landon,mother
Alf Landon Biography," John, Margaret Ann Mills, Nancy Kassebaum",children
Adlai Stevenson I Biography, Letitia Stevenson,Spouse/Ex-
Adlai Stevenson I Biography, John Turner Stevenson,father
Adlai Stevenson I Biography, Eliza Ewing Stevenson,mother
Adlai Stevenson I Biography, Lewis G. Stevenson,children
Rab Butler Biography, Montagu Sherard Dawes Butler,father
Rab Butler Biography, Adam Butler,children
James G. Blaine Biography, Harriet Stanwood Blaine,Spouse/Ex-
James G. Blaine Biography, Ephraim Lyon Blaine,father
James G. Blaine Biography, Maria Gillespie,mother
James G. Blaine Biography," Emmons Blaine, Walker Blaine",children
Julius Maada Bio Biography," Fatima Jabbe-Bio, Francess Bio",Spouse/Ex-
Julius Maada Bio Biography," Agnes Bio, Amina Maada Bio, Charlie Bio, Ivan Bio",children
Canaan Banana Biography, Janet Banana,Spouse/Ex-
Léon Blum Biography, René Blum,siblings
Nicholas II Biography, Alexandra Feodorovna (m. 1894–1918),Spouse/Ex-
Nicholas II Biography, Alexander III of Russia,father
Nicholas II Biography, Maria Feodorovna,mother
Nicholas II Biography," Alexander, George, Michael, Olga, Xenia",siblings
Nicholas II Biography," Alexei Nikolaevich, Anastasia Nikolaevna, Maria Nikolaevna, Olga Nikolaevna Tatiana Nikolaevna, Tsarevich of Russia",children
Mohammed bin Salman Biography, Sara bint Mashoor bin Abdulaziz Al Saud (m. 2008),Spouse/Ex-
Mohammed bin Salman Biography, Salman of Saudi Arabia,father
Mohammed bin Salman Biography, Fahda bint Falah bin Sultan bin Hathleen al-Ajmi,mother
Mohammed bin Salman Biography," Abdulaziz bin Salman Al Saud, Ahmed bin Salman bin Abdulaziz Al Saud, Bandar Bin Salman Al Saud, Fahd bin Salman bin Abdulaziz Al Saud, Faisal bin Salman bin Abdulaziz Al Saud, Hassa Bint Salman Al Saud, Khalid bin Salman bin Abdulaziz Al Saud, Nayef Bin Salman Al Saud, Rakan Bin Salman Al Saud, Saud Bin Salman Al Saud, Sultan bin Salman Al Saud, Turki Bin Salman Al Saud",siblings
Mohammed bin Salman Biography," Prince Mashhour, Prince Salman, Princess Fahda, Princess Nora",children
Alan Cranston Biography," Geneva McMath, Norma Weintraub",Spouse/Ex-
Alan Cranston Biography, William MacGregor Cranston,father
Alan Cranston Biography, Carol,mother
Alan Cranston Biography, Eleanor Cranston Cameron,siblings
Alan Cranston Biography," Kim Christopher, Robin MacGregor",children
John Key Biography, Bronagh Key,Spouse/Ex-
John Key Biography, George Key,father
John Key Biography, Ruth Key,mother
John Key Biography," Max Key, Stephie Key",children
Everett Dirksen Biography, Louella Dirksen,Spouse/Ex-
Everett Dirksen Biography, Johann Friedrich Dirksen,father
Everett Dirksen Biography, Antje Conrady,mother
Everett Dirksen Biography, Thomas Dirksen,siblings
Everett Dirksen Biography, Joy Dirksen,children
Chittaranjan Das Biography, Basanti Devi,Spouse/Ex-
Chittaranjan Das Biography, Bhuban Mohan Das,father
Chittaranjan Das Biography, Nistarini Devi,mother
Chittaranjan Das Biography," Aparna Devi (1898- 1972), Chiraranjan Das (1899- 1928) and Kalyani Devi",children
Alfredo Stroessner Biography, Eligia Mora,Spouse/Ex-
Abdullah Ahmad Badawi Biography," Endon Mahmood, Jeanne Abdullah",Spouse/Ex-
Abdullah Ahmad Badawi Biography, Ahmad Badawi,father
Abdullah Ahmad Badawi Biography, Fahim Ibrahim Badawi,siblings
Abdullah Ahmad Badawi Biography," Kamaluddin Abdullah, Nori Abdullah Badawi",children
Ranasinghe Premadasa Biography, Hema Premadasa,Spouse/Ex-
Ranasinghe Premadasa Biography, Richard Ranasinghe (Ranasinghe Mudalali),father
Ranasinghe Premadasa Biography, Jayasinghe Arachchige Ensina Hamine,mother
Ranasinghe Premadasa Biography," Dulanjali, Sajith Premadasa",children
Tom Ridge Biography, Michele Ridge,Spouse/Ex-
Tom Ridge Biography, Laura,mother
Schuyler Colfax Biography," Ellen Maria Colfax, Evelyn Clark",Spouse/Ex-
Marion Maréchal-Le Pen Biography, Matthieu Decosse; (m. 2014; div. 2016),Spouse/Ex-
Marion Maréchal-Le Pen Biography, Roger Auque,father
Marion Maréchal-Le Pen Biography, Yann Le Pen,mother
Marion Maréchal-Le Pen Biography, Olympe (b. 2014),children
Tshering Tobgay Biography, Tashi Doma,Spouse/Ex-
Butch Otter Biography," Lori Otter (m. 2006), Gay Simplot (m. 1964–1992)",Spouse/Ex-
Butch Otter Biography, Joseph Bernard Otter,father
Butch Otter Biography, Regina Mary,mother
Butch Otter Biography," Carolyn Otter, Corrine Inzer, John Otter, Kimberly Dawn Otter-Henderson",children
Wang Jingwei Biography, Chen Bijun,Spouse/Ex-
Wang Jingwei Biography," Wang Wenbin Jingwei, Wenjin Jingwei, Wenti Jingwei, Wenxing Jingwei, Wenxun Jingwei",children
David Blunkett Biography," Margaret Williams (2009–present), Ruth Gwynneth Mitchell (1970–1990; divorced)",Spouse/Ex-
David Blunkett Biography, Arthur Blunkett,father
David Blunkett Biography, Doris Blunkett,mother
Cordell Hull Biography, Rose Frances Witz,Spouse/Ex-
Cordell Hull Biography, William Paschal Hull,father
Cordell Hull Biography, Elizabeth (Riley) Hull,mother
Cordell Hull Biography," Orestes, Roy, Sanadius, Wyoming",siblings
Robert Winston Biography, Lira Helen Feigenbaum (m. 1973),Spouse/Ex-
Robert Winston Biography, Laurence Winston,father
Robert Winston Biography, Ruth Winston-Fox,mother
Robert Winston Biography," Anthony, Willow",siblings
Robert Winston Biography," Ben Winston, Joel Winston, Tanya Winston",children
Kenneth Kaunda Biography, Betty Kaunda,Spouse/Ex-
Kenneth Kaunda Biography, Reverend David Kaunda,father
Kenneth Kaunda Biography, Helen Kaunda,mother
Kenneth Kaunda Biography," Tilyenji Kaunda, Wezi Kaunda",children
William Ruto Biography, Rachel Chebet,Spouse/Ex-
William Ruto Biography, Mzee Daniel Cheruiyot,father
William Ruto Biography, Mama Sarah Cheruiyot,mother
William Ruto Biography, Paulo Martim Ruto,siblings
Jean-Bertrand Aristide Biography, Mildred Trouillot,Spouse/Ex-
King James I Biography, Anne of Denmark,Spouse/Ex-
King James I Biography," Henry Stuart, Lord Darnley",father
King James I Biography," Mary, Queen of Scots",mother
King James I Biography," Earl of Moray (half brother), James Stewart",siblings
King James I Biography," Charles I of England, Duke of Kintyre, Elizabeth Stuart, Henry Frederick, Margaret Stuart, Mary Stuart, Prince of Wales, Queen of Bohemia, Robert Stuart, Sophia Stuart",children
Heydar Aliyev Biography, Zarifa Aliyeva,Spouse/Ex-
James Wilson Biography," Hannah Gray, Rachel Bird",Spouse/Ex-
James Wilson Biography, William Wilson,father
James Wilson Biography, Alison Landall,mother
James Wilson Biography, Emily Hollingsworth,children
Iskander Mirza Biography, Naheed Begum,Spouse/Ex-
Iskander Mirza Biography," Enver Mirza, Humayum Mirza, Shah Taj Imam Mirza",children
Lim Guan Eng Biography, Betty Chew,Spouse/Ex-
Lim Guan Eng Biography, Lim Kit Siang,father
John Turner Biography, Geills Turner,Spouse/Ex-
John Turner Biography, Leonard Turner,father
John Turner Biography, Phyllis Gregory,mother
John Curtin Biography, Elsie Needham-Curtin,Spouse/Ex-
John Curtin Biography," Elsie Curtin, John Curtin",children
Alexei Kosygin Biography, Claudia Andreyevna Krivosheina (m. 1908–1967),Spouse/Ex-
Alexei Kosygin Biography, Nikolai Ilyich,father
Alexei Kosygin Biography, Matrona Alexandrovna,mother
Alexei Kosygin Biography, Lyudmila Alexeevna,children
Alben W. Barkley Biography," Dorothy Brower Barkley, Jane Hadley Barkley",Spouse/Ex-
John Lindsay Biography, Mary Anne Harrison Lindsay,Spouse/Ex-
John Lindsay Biography, George Nelson Lindsay,father
John Lindsay Biography, Florence Eleanor Vliet,mother
John Lindsay Biography," Anne Lindsay, John Lindsay, Katharine Lindsay, Margaret Lindsay",children
Ségolène Royal Biography, François Hollande,Spouse/Ex-
Ségolène Royal Biography, Jacques Royal,father
Ségolène Royal Biography, Hélène Dehaye,mother
Ségolène Royal Biography," Antoine Royal, Gérard Royal, Henri Royal, Marie-Nicole Royal, Marie-Odette Royal, Paul Royal, Sigisbert Royal",siblings
Ségolène Royal Biography," Clémence Hollande, Flora Hollande, Julien Hollande, Thomas Hollande",children
Fatima Jinnah Biography, Poonja Jinnah,father
Fatima Jinnah Biography, Mithibai Jinnah,mother
Fatima Jinnah Biography, Muhammad Ali Jinnah,siblings
Sebastian Coe Biography," Carole Annett, Nicky McIrvine",Spouse/Ex-
Sebastian Coe Biography, Peter Coe,father
Sebastian Coe Biography, Tina Angela Lal,mother
Sebastian Coe Biography," Alice India Violet Coe, Harry Sebastian Newbold Coe, Madeleine Rose Coe, Peter Henry Christopher Coe",children
Alan Keyes Biography, Jocelyn Marcel Keyes,Spouse/Ex-
Alan Keyes Biography, Allison Keyes,father
Alan Keyes Biography, Gerthina Keyes,mother
Alan Keyes Biography," Andrew Keyes, Francis Keyes, Maya Keyes",children
Ion Iliescu Biography, Elena Iliescu,Spouse/Ex-
Ion Iliescu Biography, Alexandru Iliescu,father
Ion Iliescu Biography, Maria Dumitru Toma,mother
Anthony Wayne Biography, Mary Penrose,Spouse/Ex-
Anthony Wayne Biography, Isaac Wayne,father
Anthony Wayne Biography, Elizabeth Eddings Wayne,mother
Anthony Wayne Biography, Margretta Wayne Isaac Wayne,children
Sardar Vallabhbhai Patel Biography, Jhaverba Patel,Spouse/Ex-
Sardar Vallabhbhai Patel Biography, Jhaverbhai Patel,father
Sardar Vallabhbhai Patel Biography, Laad Bai,mother
Sardar Vallabhbhai Patel Biography," Dahiba, Kashibhai, Narsibhai, Somabhai, Vithalbhai Patel",siblings
Sardar Vallabhbhai Patel Biography," Dahyabhai Patel, Maniben Patel",children
Peter Garrett Biography, Doris Garrett,Spouse/Ex-
Peter Garrett Biography, Peter Garrett,father
Peter Garrett Biography, Betty Garrett,mother
Peter Garrett Biography," Emily Garrett, Grace Garrett, May Garrett",children
Ma Ying-jeou Biography, Christine Chow Ma,Spouse/Ex-
Ma Ying-jeou Biography, Ma Ho-ling,father
Ma Ying-jeou Biography," Ma Wei-chung, Ma Yuan-chung",children
Rafael Correa Biography, Anne Malherbe Gosselin,Spouse/Ex-
Rafael Correa Biography, Rafael Correa Icaza,father
Rafael Correa Biography, Norma Delgado Rendón,mother
Rafael Correa Biography," Bernardita Correa, Fabricio Correa, Pierina Correa",siblings
Rafael Correa Biography," Anne Dominique Correa, Rafael Miguel Correa, Sofía Correa",children
David Ige Biography, Dawn Ige,Spouse/Ex-
David Ige Biography," Amy Ige, Lauren Ige, Matthew Ige",children
Chandrika Kumaratunga Biography, Vijaya Kumaranatunga,Spouse/Ex-
Chandrika Kumaratunga Biography, S. W. R. D. Bandaranaike,father
Chandrika Kumaratunga Biography, Sirimavo Bandaranaike,mother
Chandrika Kumaratunga Biography," Anura Bandaranaike, Sunethra Bandaranaike",siblings
Chandrika Kumaratunga Biography," Vimukthi Kumaratunga, Yasodhara Kumaratunga Walker",children
Graça Machel Biography," Nelson Mandela (m. 1998–2013), Samora Machel (m. 1975–1986)",Spouse/Ex-
Graça Machel Biography," Josina Z. Machel, Malengani Machel",children
Raila Odinga Biography, Ida Odinga,Spouse/Ex-
Raila Odinga Biography, Jaramogi Oginga Odinga,father
Raila Odinga Biography, Mary Juma Odinga,mother
Raila Odinga Biography, Oburu Odinga,siblings
Raila Odinga Biography," Fidel Odinga, Raila Odinga Jr., Rosemary Odinga, Winnie Odinga",children
Charles Curtis Biography, Annie Baird,Spouse/Ex-
Charles Curtis Biography, Orren Curtis,father
Charles Curtis Biography, Ellen Papin,mother
Charles Curtis Biography, Theresa Permelia Curtis,siblings
Charles Curtis Biography," Henry King Curtis, Leona Virginia Curtis, Permelia Jeannette Curtis",children
Kim Yo-jong Biography, Choe Song (m. 2014),Spouse/Ex-
Kim Yo-jong Biography, Kim Jong-il,father
Kim Yo-jong Biography, Ko Yong-hui,mother
Kim Yo-jong Biography," Kim Jong-chul, Kim Jong-nam, Kim Jong-un, Kim Sol-song",siblings
Mariano Rajoy Biography, Elvira Fernández Balboa,Spouse/Ex-
Mariano Rajoy Biography, Mariano Rajoy Sobredo,father
Mariano Rajoy Biography, Olga Brey López,mother
Mariano Rajoy Biography," Juan Rajoy Fernández, Mariano Rajoy Fernández",children
Elbridge Gerry Biography, Ann Gerry,Spouse/Ex-
Elbridge Gerry Biography, Thomas Gerry,father
Elbridge Gerry Biography, Elizabeth Greenleaf Gerry,mother
Elbridge Gerry Biography," Elizabeth Gerry, John Gerry, Samuel Russell Gerry, Thomas Gerry",siblings
Elbridge Gerry Biography," Ann, Catharine, Elbridge Gerry, Eleanor Stanford, Eliza, Emily Louise, Helen Maria, James Thompson, Jr., Thomas Russell",children
Fiorello H. La Guardia Biography," Marie Fisher LaGuardia, Thea Almerigotti LaGuardia",Spouse/Ex-
Fiorello H. La Guardia Biography, Achille La Guardia,father
Fiorello H. La Guardia Biography, Irene Coen Luzzato,mother
Fiorello H. La Guardia Biography, Gemma La Guardia Gluck,siblings
Fiorello H. La Guardia Biography," Eric Henry LaGuardia, Fioretta Thea LaGuardia, Jean Marie LaGuardia",children
James Connolly Biography, Lillie Connolly,Spouse/Ex-
James Connolly Biography, Roddy Connolly,children
Charles Stewart Parnell Biography," Anna Catherine Parnell, Fanny Parnell, John Howard Parnell",siblings
Edi Rama Biography," Linda Rama, Matilda Makoci",Spouse/Ex-
Edi Rama Biography, Kristaq Rama,father
Edi Rama Biography, Aneta Rama,mother
Edi Rama Biography," Gregun Rama, Rean Rama",children
Zail Singh Biography, Pardhan Kaur,Spouse/Ex-
Zail Singh Biography, Bhai Kishan Singh,father
Zail Singh Biography, Mata Ind Kaur,mother
Arthur Balfour Biography, James Maitland Balfour,father
Arthur Balfour Biography, Blanche Gascoyne Cecil,mother
Arthur Balfour Biography," Eustace Balfour, Francis Balfour",siblings
John C. Breckinridge Biography, Mary Cyrene Burch Breckinridge,Spouse/Ex-
John C. Breckinridge Biography, Hon. Joseph Cabell Breckinridge,father
John C. Breckinridge Biography, Clifton R. Breckinridge,children
Gough Whitlam Biography, Margaret Whitlam,Spouse/Ex-
Gough Whitlam Biography," Catherine Whitlam, Nicholas Whitlam, Stephen Whitlam, Tony Whitlam",children
Jean-Claude Duvalier Biography," Michèle Bennett, Veronique Roy",Spouse/Ex-
Jean-Claude Duvalier Biography, François Duvalier,father
Jean-Claude Duvalier Biography, Simone Duvalier,mother
Joe Clark Biography, Maureen McTeer,Spouse/Ex-
Joe Clark Biography, Catherine Clark,children
Chief Seattle Biography," La-Dalia, Olahl",Spouse/Ex-
Chief Seattle Biography, Shweabe,father
Chief Seattle Biography, Sholeetsa,mother
Chief Seattle Biography, Kikisoblu or Princess Angeline,children
Reuven Rivlin Biography, Nechama Rivlin,Spouse/Ex-
Reuven Rivlin Biography, Yosef Yoel Rivlin,father
Reuven Rivlin Biography," Rachel Rivlin, Ray Rivlin",mother
Reuven Rivlin Biography, Yoel Rivlin,children
Sam Rayburn Biography, Metze Jones,Spouse/Ex-
Pauline Hanson Biography," Mark Hanson, Walter Zagorski",Spouse/Ex-
Pauline Hanson Biography, John Alfred Seccombe,father
Pauline Hanson Biography, Hannorah Alousius Mary Seccombe,mother
Pauline Hanson Biography," Adam Hanson, Lee Hanson, Steven Zagorski, Tony Zagorski",children
Paul Keating Biography, Annita van Iersel,Spouse/Ex-
Paul Keating Biography, Matthew Keating,father
Paul Keating Biography, Minnie,mother
Paul Keating Biography, Anne Keating,siblings
Paul Keating Biography," Alexandra Keating, Caroline Keating, Katherine Keating, Patrick Keating",children
Barbara Jordan Biography, Ben Jordan,father
Barbara Jordan Biography, Arlyne Jordan,mother
Salmon P. Chase Biography," Catherine Garniss, Eliza Smith, Sarah Bella Dunlap Ludlow",Spouse/Ex-
Salmon P. Chase Biography, Ithamar Chase,father
Salmon P. Chase Biography, Janet Ralston,mother
Joshua Chamberlain Biography, Fanny Chamberlain,Spouse/Ex-
Joshua Chamberlain Biography, Joshua Chamberlain,father
Joshua Chamberlain Biography, Sarah Dupree,mother
Joshua Chamberlain Biography, Thomas Chamberlain,siblings
Joshua Chamberlain Biography," Allen, Emily Stelle Chamberlain, Gertrude Loraine Chamberlain, Grace Dupee, Harold Wyllys Chamberlain",children
Lester B. Pearson Biography, Maryon Pearson,Spouse/Ex-
Lester B. Pearson Biography, Edwin Arthur Pearson,father
Lester B. Pearson Biography, Annie Sarah,mother
Lester B. Pearson Biography," Marmaduke Pearson, Vaughan Whitier Pearson",siblings
Lester B. Pearson Biography, Geoffrey Pearson,children
Eldridge Cleaver Biography, Kathleen Cleaver 1967–1987),Spouse/Ex-
Eldridge Cleaver Biography," Ahmad Maceo Eldridge Cleaver, Joju Younghi Cleaver",children
Ilham Aliyev Biography, Mehriban Aliyeva,Spouse/Ex-
Ilham Aliyev Biography, Heydar Aliyev,father
Ilham Aliyev Biography, Zarifa Aliyeva,mother
Ilham Aliyev Biography," Arzu Aliyeva, Heydar Aliyev, Leyla Aliyeva",children
Nikol Pashinyan Biography, Anna Hakobyan,Spouse/Ex-
Aneurin Bevan Biography," Baroness Lee of Asheridge, Jennie Lee",Spouse/Ex-
Aneurin Bevan Biography, David Bevan,father
Aneurin Bevan Biography, Phoebe Prothero,mother
"William Pitt, 1st Earl of Chatham Biography"," Countess of Chatham, Hester Pitt",Spouse/Ex-
"William Pitt, 1st Earl of Chatham Biography", William Pitt the Younger,children
Mikhail Prokhorov Biography, Dmitri Prokhorov,father
Mikhail Prokhorov Biography, Tamara Prokhorova,mother
Mikhail Prokhorov Biography, Irina Prokhorova,siblings
Eugene McCarthy Biography, Abigail McCarthy,Spouse/Ex-
Eugene McCarthy Biography," Christopher Joseph McCarthy, Eleanor McCarthy Howell, Margaret Alice McCarthy Brown, Mary Abigail McCarthy, Mary Beth McCarthy, Michael Benet McCarthy",children
Jaswant Singh Biography, Sheetal Kanwar,Spouse/Ex-
Jaswant Singh Biography, Thakur Sardara Singh Rathore,father
Jaswant Singh Biography, Kunwar Baisa,mother
Jaswant Singh Biography, Manvendra Singh,children
Zhao Ziyang Biography, Liang Boqi,Spouse/Ex-
Zhao Ziyang Biography," Zhao Daijun, Zhao Erjun, Zhao Liang, Zhao Sanjun, Zhao Sijun, Zhao Wujun",children
John Foster Dulles Biography, Janet Pomeroy Avery (m. 1912–1959),Spouse/Ex-
Boutros Boutros-Ghali Biography, Leia Maria Boutros-Ghali,Spouse/Ex-
John Foster Dulles Biography, Allen Macy Dulles,father
John Foster Dulles Biography, Ecdith,mother
John Foster Dulles Biography," Avery Dulles, John W. F. Dulles, Lillias Dulles Hinshaw",children
Boutros Boutros-Ghali Biography," Michel Boutros-Ghali, Raouf Boutros-Ghali",siblings
Syngman Rhee Biography, Franziska Donner,Spouse/Ex-
Thaksin Shinawatra Biography, Potjaman Na Pombejra,Spouse/Ex-
Thaksin Shinawatra Biography, Lert Shinawatra,father
Thaksin Shinawatra Biography, Yindee Shinawatra,mother
Thaksin Shinawatra Biography," Yaowapha Wongsawat, Yingluck Shinawatra",siblings
Thaksin Shinawatra Biography," Panthongtae Shinawatra, Peathongtarn Shinawatra, Pintongtha Kunakornwong",children
Ethan Allen Biography," Frances Montresor Brush Buchanan (m. 1784–1789), Mary Brownson (m. 1762–1783)",Spouse/Ex-
Ethan Allen Biography," Heber Allen, Heman Allen, Ira Allen, Levi Allen, Lucy Allen, Lydia Allen, Zimri Allen",siblings
Ethan Allen Biography, Fanny Allen,children
John Bel Edwards Biography, Donna Hutto,Spouse/Ex-
John Bel Edwards Biography, Frank M. Edwards Jr.,father
John Bel Edwards Biography, Dora Jean Miller,mother
John Bel Edwards Biography," Daniel H. Edwards, Frank Millard Edwards",siblings
John Bel Edwards Biography," John Miller Edwards, Samantha Edwards, Sarah Edwards",children
Hun Sen Biography, Bun Rany,Spouse/Ex-
Hun Sen Biography, Hun Neang,father
Hun Sen Biography, Dee Yon,mother
Hun Sen Biography," Hun Kamsot, Hun Mali, Hun Malis, Hun Mana, Hun Manet, Hun Mani, Hun Manit",children
Luigi Di Maio Biography, Antonio Di Maio,father
Luigi Di Maio Biography, Paola Esposito,mother
Luigi Di Maio Biography, Rosalba Di Maio,siblings
Kurt Waldheim Biography, Elisabeth Waldheim,Spouse/Ex-
Kurt Waldheim Biography, Walter Waldheim,father
Kurt Waldheim Biography," Christa, Gerhard, Lieselotte",children
Sam Brownback Biography, Mary Brownback,Spouse/Ex-
Sam Brownback Biography, Glen Robert Brownback,father
Sam Brownback Biography, Nancy (Cowden),mother
